,Major,EarlyCareerPay,MidCareerPay
654,Graphic Design,45100,69700
655,Nutrition,48100,69600
656,Nutrition & Dietetics,50800,69600
657,Missions,41300,69500
658,Dramatic Art,41400,69400
659,Fashion Marketing & Management,47700,69100
660,Interdisciplinary Studies (IS),44600,68900
661,Hospitality & Tourism,44200,68800
662,Human Ecology,42100,68800
663,Ornamental Horticulture,46000,68800
664,Physical Therapist Assistant Studies,49900,68800
665,Public Health (PH),46000,68800
666,Art Therapy,41100,68600
667,Dietetics,51300,68600
668,Landscape Management,52300,68600
669,Applied Sociology,42200,68500
670,Fine Arts,43200,68500
671,Modern Language Spanish,43800,68500
672,Women's Studies,45200,68500
673,Social & Criminal Justice,44800,68500
674,Animal Science,41200,68300
675,New Media,46000,68300
676,Textiles & Clothing,45100,68300
677,Event Management,41700,68200
678,Family & Consumer Science,42600,68000
679,Speech-Language Pathology,44100,67900
680,Technical Theatre,41000,67600
681,Education,44100,67500
682,Foods & Nutrition,47000,67500
683,Recreation Management,42300,67500
684,Business & Healthcare Management,46900,67300
685,Agricultural Teacher Education,53500,67100
686,Music Composition,44000,66900
687,Art,43400,66700
688,Psychology & Sociology,42800,66700
689,Drawing & Painting,42800,66600
690,Nonprofit Management,42300,66300
691,Small Business Management,47100,66200
692,Behavioral Science,43000,66000
693,Horticulture & Agronomy,52500,65900
694,Health Services Administration,42700,65800
695,Multidisciplinary Studies,41800,65800
696,Restaurant & Food Service Management,43900,65800
697,Consumer Affairs,51000,65700
698,Training and Development,52600,65600
699,Health & Exercise Science,41700,65600
700,Electronic Media,45300,65600
701,Environmental Resource Management,48700,65500
702,Theatre Arts,43500,65300
703,Applied Linguistics,46800,65200
704,African American & African Studies,46400,65100
705,Exercise & Sports Science,42600,65100
706,General Studies,43600,65100
707,Justice Studies,45300,65100
708,Video Production,42800,65100
709,Graphic Arts,42700,64900
710,Physical Education Teaching,42200,64900
711,Health Services Management,41600,64800
712,Physical Education & Exercise Science,44100,64800
713,Drawing,37400,64800
714,Exercise Science,41400,64700
715,Printmaking,38400,64300
716,Sports Administration,43300,64300
717,Theology,42800,64300
718,Interior Design & Merchandising,43700,64200
719,Recreation & Leisure Studies,40300,64200
720,Human Development,43700,64100
721,Music Industry,45800,64100
722,Wildlife Management,39700,64100
723,Supervision & Management,41700,64100
724,Health & Wellness,40100,64000
725,Culinary Arts & Food Service Management,41300,64000
726,Mortuary Science,43500,64000
727,Clinical Psychology,43000,63900
728,Community Health Education,42600,63900
729,Dance,45100,63900
730,Speech Pathology,42800,63700
731,Gender Studies,45500,63600
732,Secondary English Teacher Education,42000,63600
733,Photography,43800,63500
734,English Teacher Education,43300,63100
735,Paralegal Studies,39600,63100
736,Social Studies Teacher Education,43400,63100
737,Teaching English as a Second Language (ESL),42800,63000
738,Music Teacher Education,42000,63000
739,Health Promotion,42300,62800
740,Recording Arts,44800,62800
741,Photojournalism,41900,62600
742,Recreation Administration,47000,62500
743,Radio Broadcasting,46300,62400
744,Sculpture,40300,62200
745,Painting,40700,62000
746,Psychology & Social Sciences,42600,62000
747,Health & Physical Education Teaching,38700,61900
748,Organizational Administration,45000,61800
749,Tourism Management,43100,61600
750,Instrumental Music Teacher Education,41700,61600
751,Emergency Medical Services (EMS),44200,61400
752,Community Health,45400,61300
753,Health & Human Performance,38100,61100
754,Music Therapy,43100,60700
755,Social Services,39900,60500
756,Rehabilitation Services,35800,60200
757,Horticulture,43000,60100
758,University Studies,42400,60000
759,Church Ministries,40000,59900
760,Communicative Disorders,47400,59800
761,Social Science Teacher Education,45400,59800
762,Wildlife Biology,42900,59800
763,Community Development,44600,59400
764,Psychology & Human Services,35600,59400
765,Athletic Training,42100,59300
766,Biblical Studies,40500,59000
767,Biblical Studies & Practical Ministries,36400,58900
768,Counseling Psychology,42700,58900
769,Recreational Studies,42100,58900
770,Teaching,42000,58900
771,Home Economics,41800,58700
772,Library & Information Science,48200,58700
773,Human Development & Family Studies,40300,58600
774,Tourism & Travel,42200,58600
775,Landscape Design,49000,58500
776,Ceramics,42200,58300
777,Clinical Social Work (CSW),43500,58300
778,Parks & Recreation Management,42700,58300
779,Pastoral Ministry,38700,58000
780,Vocal Performance,42600,58000
781,Art Teacher Education,40300,57500
782,Bible Studies & Theology,40000,57500
783,Forensic Accounting,48300,57200
784,Communication Sciences & Disorders,43300,57100
785,Legal Assistant Studies,38100,57100
786,Special Education,41300,57000
787,Conservation Biology,42800,56900
788,Family Studies,39200,56800
789,Christian Ministry,38100,56400
790,Speech & Hearing,43300,56400
791,Health and Human Services,43500,56300
792,Musical Theatre,43500,56100
793,History Teacher Education,47700,55600
794,Developmental Psychology,38200,55000
795,Therapeutic Recreation,39500,54900
796,Applied Behavioral Science,40500,54600
797,Community & Human Services,42400,54600
798,Social Work (SW),38600,54600
799,Office Administration,38700,54500
800,Ministry,36700,54300
801,Family & Community Services,42200,54300
802,Youth Ministry,37400,54200
803,Elementary Education,40000,53800
804,Voice & Opera,34500,53300
805,Christian Education,38700,53200
806,Conflict Resolution,44400,53200
807,Baking & Pastry Arts,37500,53000
808,Human Services Management,45600,53000
809,Hospitality & The Culinary Arts,38800,52900
810,Human Services (HS),38700,52500
811,Counseling,39900,51700
812,Recreational Therapy,38400,51600
813,Child Development,37400,51400
814,Educational Psychology,36900,51200
815,Middle School Education,41200,50800
816,Mental Health Counseling,36100,50000
817,Early Childhood & Elementary Education,38000,48400
818,Equine Studies,35700,47100
819,Addiction Studies,38000,47000
820,Child & Family Studies,36400,46500
821,Rehabilitation Counseling,39200,46400
822,Outdoor Education,37400,46300
823,Early Childhood Education,36100,45400
824,Mental Health,36900,45000
825,Medical Assisting,36000,44800
826,Metalsmithing,40000,40300
