,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
17,Rank:242,Major:Manufacturing Technology,Degree Type:Bachelors,"$59,900","$97,900",46%
18,Rank:244,Major:Chemistry,Degree Type:Bachelors,"$51,600","$97,500",55%
19,Rank:245,Major:Business Logistics & Transportation,Degree Type:Bachelors,"$56,400","$97,400",44%
20,Rank:246,Major:Food Science & Technology,Degree Type:Bachelors,"$53,100","$97,300",49%
21,Rank:247,Major:City & Regional Planning,Degree Type:Bachelors,"$51,800","$97,200",70%
22,Rank:247,Major:Civil Engineering Technology (CET),Degree Type:Bachelors,"$58,300","$97,200",60%
23,Rank:249,Major:Electronics Engineering Technology (EET),Degree Type:Bachelors,"$64,300","$97,100",50%
24,Rank:249,Major:English & Psychology,Degree Type:Bachelors,"$42,600","$97,100",-
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:249,Major:Finance & Banking,Degree Type:Bachelors,"$55,300","$97,100",47%
1,Rank:249,Major:Mechanical Design,Degree Type:Bachelors,"$60,900","$97,100",45%
2,Rank:253,Major:Applied Technology,Degree Type:Bachelors,"$55,500","$97,000",62%
3,Rank:254,Major:Marketing & Management,Degree Type:Bachelors,"$50,000","$96,900",45%
4,Rank:255,Major:Technical & Scientific Communication,Degree Type:Bachelors,"$50,700","$96,800",37%
5,Rank:256,Major:Financial Planning,Degree Type:Bachelors,"$54,000","$96,600",63%
6,Rank:256,Major:Organizational Behavior,Degree Type:Bachelors,"$57,000","$96,600",51%
7,Rank:256,Major:Marketing,Degree Type:Bachelors,"$51,700","$96,600",40%
8,Rank:259,Major:Dairy Science,Degree Type:Bachelors,"$51,200","$96,200",68%
9,Rank:259,Major:Project Management,Degree Type:Bachelors,"$56,800","$96,200",58%
10,Rank:261,Major:Government & International Politics (GVIP),Degree Type:Bachelors,"$51,300","$96,100",49%
11,Rank:261,Major:Latin American Studies,Degree Type:Bachelors,"$46,700","$96,100",62%
12,Rank:263,Major:Industrial Design (ID),Degree Type:Bachelors,"$55,100","$95,900",41%
13,Rank:263,Major:Web Design & Development,Degree Type:Bachelors,"$53,100","$95,900",44%
14,Rank:265,Major:Computing & Information Systems (CIS),Degree Type:Bachelors,"$58,100","$95,800",40%
15,Rank:265,Major:Electromechanical Engineering,Degree Type:Bachelors,"$70,500","$95,800",55%
16,Rank:265,Major:Industrial Technology (IT),Degree Type:Bachelors,"$62,200","$95,800",50%
17,Rank:265,Major:Information Technology (IT) & Systems,Degree Type:Bachelors,"$61,100","$95,800",47%
18,Rank:269,Major:Biopsychology,Degree Type:Bachelors,"$53,300","$95,700",74%
19,Rank:269,Major:Government & Politics,Degree Type:Bachelors,"$52,400","$95,700",51%
20,Rank:271,Major:Microbiology & Immunology,Degree Type:Bachelors,"$54,900","$95,400",68%
21,Rank:271,Major:Chemistry & Environmental Science,Degree Type:Bachelors,"$48,200","$95,400",-
22,Rank:273,Major:Interactive Media Design,Degree Type:Bachelors,"$54,000","$95,300",38%
23,Rank:273,Major:Risk Management,Degree Type:Bachelors,"$58,500","$95,300",42%
24,Rank:275,Major:Cell Biology,Degree Type:Bachelors,"$50,100","$95,200",59%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:276,Major:Aeronautics,Degree Type:Bachelors,"$62,800","$95,100",64%
1,Rank:277,Major:Welding Engineering Technology,Degree Type:Bachelors,"$74,700","$95,000",42%
2,Rank:278,Major:Finance & Management Information Systems,Degree Type:Bachelors,"$63,900","$94,800",-
3,Rank:279,Major:Computer Science (CS) & Business,Degree Type:Bachelors,"$81,100","$94,600",28%
4,Rank:280,Major:Environmental Science & Policy,Degree Type:Bachelors,"$49,500","$94,500",59%
5,Rank:280,Major:Marketing & Communications,Degree Type:Bachelors,"$49,600","$94,500",45%
6,Rank:280,Major:Safety Management,Degree Type:Bachelors,"$60,100","$94,500",70%
